Use,UseNonUse,Slope,CoverDist,Roads,AllTrails
10,1,13,11,60,720
4,1,0,0,664,95
3,1,18,0,313,598
4,1,10,0,872,201
4,1,0,0,607,210
4,1,13,0,335,655
6,1,0,0,579,175
10,1,0,0,474,67
6,1,0,0,408,60
4,1,0,0,351,42
2,1,0,10,300,60
6,1,0,0,391,247
1,1,0,0,481,210
3,1,0,40,350,190
6,1,0,0,277,309
19,1,1,0,450,85
5,1,8,0,268,437
7,1,11,5,721,30
6,1,0,0,721,335
2,1,0,0,830,268
4,1,0,7,738,511
9,1,0,0,350,192
12,1,32,0,30,0
6,1,13,0,430,85
6,1,0,0,659,60
4,1,13,0,360,201
1,1,11,5,577,90
6,1,13,11,379,60
6,1,0,0,693,492
8,1,5,0,319,30
6,1,3,0,342,0
12,1,18,15,30,60
1,1,17,0,134,295
4,1,0,0,886,30
8,1,0,0,607,301
7,1,13,0,805,0
6,1,0,0,339,150
